insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
OQ721210	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721221	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721505	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721541	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721767	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
KJ501362	USA			USA			USA		
MH507679	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH507680	USA	Del_Mar,California		USA	California	Del_Mar	USA	Del_Mar	California
MH507681	USA	Encinitas,California		USA	California	Encinitas	USA	Encinitas	California
MH507976	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH508034	USA	Bakersfield,California		USA	California	Bakersfield	USA	Bakersfield	California
MF175834	USA	Montgomery Co. TX		USA	Texas	Montgomery Co.	USA	Montgomery Co. TX	
MH507692	USA	Chula_Vista,California		USA	California	Chula_Vista	USA	Chula_Vista	California
OQ721250	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MH507974	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
OQ721513	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
MF175847	USA	Fort Bend Co. TX		USA	Texas	Fort Bend Co.	USA	Fort Bend Co. TX	
MH507674	USA	El_Cajon,California		USA	California	El_Cajon	USA	El_Cajon	California
MH507973	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH508033	USA	Arvin,California		USA	California	Arvin	USA	Arvin	California
OQ721388	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
OQ721195	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
MF175851	USA	Fort Bend Co. TX		USA	Texas	Fort Bend Co.	USA	Fort Bend Co. TX	
KJ501439	USA			USA			USA		
KJ501401	USA			USA			USA		
KJ501395	USA			USA			USA		
KJ501394	USA			USA			USA		
KJ501393	USA			USA			USA		
KJ501379	USA			USA			USA		
KJ501378	USA			USA			USA		
KJ501377	USA			USA			USA		
KJ501374	USA			USA			USA		
OQ721171	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
OQ721189	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721309	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
KX547450	USA	Onondaga Co., NY		USA	New York	Onondaga Co.	USA	Onondaga Co.	NY
MF175859	USA	Fort Bend Co. TX		USA	Texas	Fort Bend Co.	USA	Fort Bend Co. TX	
KJ501363	USA			USA			USA		
MG004532	USA	AZ		USA	Arizona		USA	AZ	
OQ721215	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721762	USA	Yolo, California		USA	California	Yolo	USA	Yolo	California
KX547206	USA	Chautauqua Co., NY		USA	New York	Chautauqua Co.	USA	Chautauqua Co.	NY
MF175856	USA	Collin Co. TX		USA	Texas	Collin Co.	USA	Collin Co. TX	
OQ721600	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507693	USA	Carlsbad,California		USA	California	Carlsbad	USA	Carlsbad	California
OQ721338	USA	Larimer, Colorado		USA	Colorado	Larimer	USA	Larimer	Colorado
OQ721571	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
OQ721840	USA	Sacramento, California		USA	California	Sacramento	USA	Sacramento	California
OQ721696	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507682	USA	Escondido,California		USA	California	Escondido	USA	Escondido	California
OQ721685	USA	San Diego, California		USA	California	San Diego	USA	San Diego	California
MH507616	USA	San_Diego,California		USA	California	San_Diego	USA	San_Diego	California
MH507683	USA	El_Cajon,California		USA	California	El_Cajon	USA	El_Cajon	California
MH507695	USA	Ramona,California		USA	California	Ramona	USA	Ramona	California
MH507696	USA	Ramona,California		USA	California	Ramona	USA	Ramona	California
KJ501282	USA			USA			USA		
