insdcAccessionBase	geoLocCountry_main	geoLocAdmin1_main	geoLocAdmin2_main	geoLocCountry_use-pycountry	geoLocAdmin1_use-pycountry	geoLocAdmin2_use-pycountry	geoLocCountry_auspice-curate	geoLocAdmin1_auspice-curate	geoLocAdmin2_auspice-curate
KU296569	Sierra Leone			Sierra Leone			Sierra Leone		
KU296563	Sierra Leone			Sierra Leone			Sierra Leone		
KU296742	Sierra Leone			Sierra Leone			Sierra Leone		
KT357828	Sierra Leone	Kono		Sierra Leone		Kono	Sierra Leone	Kono	
KU296710	Sierra Leone			Sierra Leone			Sierra Leone		
KU296356	Sierra Leone			Sierra Leone			Sierra Leone		
KU296432	Sierra Leone			Sierra Leone			Sierra Leone		
KP759672	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
MH608080	Sierra Leone			Sierra Leone			Sierra Leone		
KP759684	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KP759685	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KP759686	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KR653228	Sierra Leone	Bombali		Sierra Leone		Bombali	Sierra Leone	Bombali	
KR653245	Sierra Leone	Tonkolili		Sierra Leone		Tonkolili	Sierra Leone	Tonkolili	
KR653304	Sierra Leone	Kenema		Sierra Leone		Kenema	Sierra Leone	Kenema	
KP759600	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KP759601	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KP759673	Sierra Leone	western area		Sierra Leone	Western Area (Freetown)		Sierra Leone	western area	
KU296733	Sierra Leone			Sierra Leone			Sierra Leone		
KP759679	Sierra Leone	Port Loko		Sierra Leone		Port Loko	Sierra Leone	Port Loko	
KP759690	Sierra Leone	western urban		Sierra Leone		western urban	Sierra Leone	western urban	
KR653253	Sierra Leone	Koinadugu		Sierra Leone		Koinadugu	Sierra Leone	Koinadugu	
KR653256	Sierra Leone	Koinadugu		Sierra Leone		Koinadugu	Sierra Leone	Koinadugu	
MG948588	Sierra Leone			Sierra Leone			Sierra Leone		
KP759604	Sierra Leone	Kambia		Sierra Leone		Kambia	Sierra Leone	Kambia	
KP759605	Sierra Leone	Kambia		Sierra Leone		Kambia	Sierra Leone	Kambia	
KP759689	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
KR653292	Sierra Leone	Moyamba		Sierra Leone		Moyamba	Sierra Leone	Moyamba	
KP759619	Sierra Leone	western rural		Sierra Leone		western rural	Sierra Leone	western rural	
